club id,accurate launches,att lf goal,failed cross nocorner,total draws,ground duel won,att pen goal,blocked scoring att,attempts conceded ibox,interception,aerial lost,failed back zone pass,hand ball,attempts conceded obox,failed launches,accurate layoffs,open play pass,total matches,away wins,fk foul lost,accurate long balls,goals,total clearance,total wins,accurate fwd zone pass per,att obox goal,failed layoffs,accurate goal kicks,att pen miss,away draws,successful open play pass,accurate back zone pass,att freekick goal,other goals,accurate shooting per,away matches,home draws,accurate cross,failed corner intobox,total att assist,duel,good claim,att setpiece,att hd goal,away losses,total losses,post scoring att,total red card,last man tackle,corner taken,accurate pass,ground duel,accurate corners intobox,shots conc onfield,lost tackle,penalty won,accurate fwd zone pass,goals conceded,won tackle,won corners,pen goals conceded,goal conversion per,club abbreviation,ontarget scoring att,yellow card,aerial won,poss lost all,ball recovery,penalty conceded,failed fwd zone pass,home losses,possession percentage,goals conceded ibox,failed cross,aerial duel,tackle success per,own goals,ground duel lost,accurate throws,own goals accrued,penalty save,accurate pass per,accurate cross per,games played,total pass,att ibox goal,failed throws,inaccurate goal kicks,home matches,red card,successful dribble,successfull short pass,fk foul won,failed long balls,goal assist,drops,accurate cross nocorner,total pass miss,home wins,goals conceded obox,outfielder block,saves,successfull dribble,duel lost,second yellow,att rf goal,total scoring att,att pen taken,failed short pass,successful short pass,clean sheet,duel won,failed dribble,total offside,clearance off line,points,season,goal_weighted_score,attack_weighted_score,defense_weighted_score,possession_weighted_score
5,148.0,12.0,345.0,8.0,1307.0,4.0,106.0,97.0,531.0,496.0,746.0,25.0,39.0,485.0,205.0,12674.0,34.0,5.0,437.0,750.0,55.0,694.0,15.0,70.0,5.0,32.0,316.0,0.0,4.0,9013.0,4774.0,0.0,0.0,36.0,17.0,4.0,169.0,94.0,289.0,3798.0,27.0,19.0,9.0,7.0,10.0,9.0,4.0,2.0,184.0,11112.0,2570.0,56.0,399.0,208.0,5.0,6055.0,44.0,487.0,184.0,3.0,13.0,0.0,158.0,59.0,519.0,5369.0,2241.0,6.0,3095.0,3.0,53.0,38.0,460.0,1015.0,70.0,1.0,1251.0,623.0,2.0,1.0,76.0,24.0,34.0,14699.0,49.0,172.0,129.0,17.0,1.0,224.0,10326.0,387.0,1107.0,57.0,3.0,103.0,3411.0,10.0,4.0,91.0,101.0,224.0,1833.0,2.0,31.0,448.0,5.0,2221.0,10326.0,9.0,1891.0,229.0,78.0,3.0,53.0,2016.0,0.28,0.24,0.23,0.36
6,188.0,16.0,321.0,8.0,1217.0,4.0,118.0,91.0,507.0,458.0,633.0,21.0,39.0,478.0,243.0,14043.0,34.0,4.0,420.0,1210.0,48.0,581.0,13.0,71.0,7.0,21.0,306.0,0.0,5.0,11280.0,5837.0,1.0,0.0,34.0,17.0,4.0,160.0,86.0,316.0,3344.0,11.0,20.0,6.0,8.0,11.0,11.0,4.0,2.0,180.0,11915.0,2385.0,57.0,351.0,173.0,5.0,6251.0,41.0,446.0,180.0,3.0,10.0,0.0,159.0,60.0,452.0,4891.0,1991.0,5.0,2875.0,4.0,53.0,32.0,468.0,959.0,73.0,1.0,1213.0,628.0,1.0,1.0,79.0,26.0,34.0,14884.0,40.0,164.0,103.0,17.0,3.0,229.0,10617.0,394.0,941.0,43.0,2.0,92.0,2984.0,9.0,5.0,75.0,91.0,229.0,1650.0,1.0,22.0,488.0,5.0,1874.0,10617.0,10.0,1626.0,256.0,54.0,2.0,49.0,2016.0,0.24,0.31,0.16,0.48
7,158.0,11.0,335.0,9.0,1109.0,3.0,97.0,109.0,418.0,466.0,693.0,25.0,51.0,488.0,235.0,12244.0,34.0,3.0,422.0,1085.0,43.0,691.0,11.0,69.0,7.0,23.0,334.0,0.0,4.0,9761.0,5684.0,1.0,0.0,34.0,17.0,5.0,150.0,101.0,304.0,3247.0,18.0,16.0,7.0,11.0,16.0,11.0,5.0,1.0,154.0,10606.0,2262.0,49.0,419.0,169.0,4.0,5076.0,51.0,413.0,154.0,5.0,9.0,0.0,141.0,74.0,470.0,4867.0,1833.0,7.0,2750.0,6.0,49.0,43.0,472.0,952.0,70.0,1.0,1158.0,610.0,0.0,0.0,78.0,24.0,34.0,13365.0,34.0,158.0,144.0,17.0,2.0,210.0,9462.0,367.0,1116.0,37.0,2.0,83.0,3006.0,8.0,7.0,106.0,104.0,210.0,1676.0,2.0,18.0,435.0,4.0,1904.0,9462.0,9.0,1571.0,194.0,69.0,4.0,37.0,2016.0,-0.22,0.19,0.18,0.31
8,136.0,9.0,332.0,8.0,1150.0,6.0,102.0,111.0,480.0,441.0,715.0,24.0,43.0,370.0,248.0,14481.0,34.0,4.0,398.0,1070.0,46.0,616.0,14.0,75.0,8.0,24.0,370.0,0.0,4.0,12085.0,6419.0,1.0,0.0,32.0,17.0,4.0,164.0,95.0,319.0,3081.0,25.0,20.0,7.0,9.0,12.0,12.0,2.0,2.0,179.0,12721.0,2275.0,54.0,433.0,146.0,7.0,6575.0,46.0,393.0,179.0,4.0,10.0,0.0,151.0,56.0,438.0,4661.0,2028.0,5.0,2614.0,3.0,52.0,39.0,442.0,886.0,72.0,1.0,1126.0,635.0,1.0,1.0,81.0,25.0,34.0,15331.0,39.0,114.0,103.0,17.0,1.0,233.0,11565.0,362.0,885.0,47.0,2.0,110.0,2897.0,9.0,8.0,92.0,105.0,233.0,1546.0,0.0,33.0,464.0,7.0,1939.0,11565.0,8.0,1548.0,210.0,82.0,2.0,51.0,2016.0,0.02,0.27,0.2,0.6
9,179.0,10.0,353.0,9.0,1199.0,3.0,97.0,112.0,455.0,450.0,635.0,19.0,46.0,565.0,239.0,12440.0,34.0,3.0,428.0,1036.0,49.0,688.0,11.0,70.0,7.0,34.0,343.0,0.0,5.0,9597.0,4253.0,1.0,0.0,36.0,17.0,4.0,140.0,86.0,300.0,3294.0,25.0,18.0,7.0,9.0,13.0,12.0,4.0,1.0,160.0,10175.0,2486.0,41.0,444.0,186.0,5.0,6016.0,50.0,410.0,160.0,4.0,10.0,0.0,158.0,55.0,406.0,5150.0,2020.0,5.0,2970.0,4.0,48.0,44.0,471.0,845.0,68.0,1.0,1253.0,602.0,1.0,1.0,76.0,23.0,34.0,13384.0,42.0,209.0,148.0,17.0,2.0,262.0,9176.0,400.0,1083.0,49.0,3.0,91.0,3169.0,8.0,7.0,104.0,115.0,262.0,1717.0,1.0,28.0,437.0,5.0,1966.0,9176.0,8.0,1642.0,248.0,59.0,4.0,45.0,2016.0,-0.05,0.23,0.24,0.27
10,261.0,12.0,362.0,9.0,1284.0,3.0,114.0,109.0,513.0,425.0,705.0,22.0,52.0,598.0,242.0,12988.0,34.0,3.0,411.0,1137.0,40.0,693.0,10.0,71.0,6.0,25.0,310.0,0.0,4.0,10300.0,5395.0,0.0,0.0,32.0,17.0,6.0,157.0,101.0,300.0,3300.0,28.0,14.0,7.0,10.0,13.0,11.0,5.0,1.0,185.0,10925.0,2531.0,48.0,450.0,167.0,5.0,5938.0,45.0,440.0,185.0,4.0,8.0,0.0,146.0,59.0,371.0,4800.0,2060.0,5.0,2879.0,3.0,49.0,38.0,481.0,787.0,72.0,1.0,1215.0,596.0,1.0,1.0,78.0,24.0,34.0,14053.0,37.0,143.0,143.0,17.0,3.0,265.0,9762.0,410.0,994.0,41.0,3.0,103.0,3001.0,8.0,7.0,108.0,109.0,265.0,1639.0,1.0,22.0,439.0,5.0,1792.0,9762.0,7.0,1678.0,241.0,69.0,3.0,44.0,2016.0,-0.07,0.22,0.25,0.36
11,143.0,13.0,312.0,9.0,1198.0,3.0,104.0,109.0,546.0,445.0,707.0,20.0,49.0,450.0,242.0,12642.0,34.0,3.0,412.0,1002.0,46.0,692.0,10.0,71.0,6.0,26.0,316.0,0.0,4.0,9902.0,5255.0,1.0,0.0,35.0,17.0,5.0,131.0,92.0,288.0,3272.0,22.0,17.0,7.0,9.0,13.0,11.0,3.0,2.0,160.0,10549.0,2381.0,40.0,443.0,151.0,5.0,5462.0,51.0,414.0,160.0,4.0,10.0,0.0,163.0,62.0,453.0,4855.0,2087.0,4.0,2655.0,3.0,47.0,43.0,436.0,888.0,74.0,2.0,1178.0,596.0,2.0,0.0,79.0,24.0,34.0,13588.0,39.0,144.0,139.0,17.0,2.0,253.0,9441.0,386.0,1108.0,40.0,5.0,93.0,2927.0,6.0,6.0,99.0,101.0,253.0,1652.0,1.0,23.0,429.0,5.0,1816.0,9441.0,8.0,1627.0,224.0,75.0,4.0,40.0,2016.0,-0.15,0.23,0.24,0.31
12,167.0,13.0,365.0,9.0,1130.0,5.0,99.0,107.0,456.0,401.0,637.0,23.0,46.0,468.0,314.0,13877.0,34.0,5.0,396.0,1070.0,56.0,748.0,14.0,72.0,7.0,31.0,299.0,0.0,5.0,11140.0,5737.0,1.0,0.0,36.0,17.0,4.0,164.0,101.0,312.0,3233.0,25.0,22.0,9.0,7.0,12.0,12.0,3.0,2.0,176.0,11702.0,2245.0,49.0,439.0,159.0,6.0,6331.0,47.0,419.0,176.0,3.0,12.0,0.0,167.0,54.0,417.0,4642.0,1951.0,4.0,2844.0,5.0,51.0,41.0,484.0,817.0,72.0,1.0,1129.0,563.0,1.0,1.0,79.0,25.0,34.0,14693.0,47.0,129.0,143.0,17.0,2.0,204.0,10616.0,371.0,928.0,59.0,2.0,108.0,2991.0,10.0,6.0,100.0,101.0,204.0,1608.0,1.0,31.0,469.0,6.0,1877.0,10616.0,8.0,1558.0,211.0,56.0,3.0,51.0,2016.0,0.2,0.3,0.21,0.47
13,159.0,13.0,309.0,8.0,1174.0,3.0,98.0,112.0,443.0,502.0,675.0,23.0,52.0,484.0,234.0,12930.0,34.0,4.0,416.0,1030.0,45.0,810.0,11.0,68.0,8.0,32.0,327.0,0.0,4.0,10069.0,5345.0,1.0,0.0,34.0,17.0,4.0,154.0,85.0,282.0,3362.0,33.0,20.0,6.0,9.0,13.0,9.0,3.0,2.0,155.0,10626.0,2369.0,49.0,487.0,167.0,4.0,5520.0,49.0,407.0,155.0,4.0,11.0,0.0,144.0,51.0,507.0,4958.0,1989.0,5.0,2924.0,4.0,48.0,41.0,421.0,1016.0,71.0,1.0,1208.0,624.0,1.0,0.0,76.0,26.0,34.0,13823.0,40.0,136.0,158.0,17.0,2.0,214.0,9491.0,378.0,1066.0,40.0,3.0,91.0,3089.0,7.0,6.0,109.0,118.0,214.0,1710.0,0.0,24.0,402.0,4.0,2011.0,9491.0,8.0,1634.0,240.0,85.0,3.0,46.0,2016.0,-0.1,0.17,0.28,0.32
14,153.0,12.0,364.0,9.0,1240.0,4.0,116.0,108.0,449.0,481.0,655.0,22.0,50.0,467.0,245.0,12961.0,34.0,3.0,438.0,1064.0,52.0,711.0,12.0,73.0,6.0,28.0,305.0,0.0,5.0,10396.0,4965.0,1.0,0.0,33.0,17.0,4.0,152.0,99.0,318.0,3362.0,31.0,19.0,8.0,8.0,11.0,11.0,3.0,2.0,167.0,11044.0,2493.0,55.0,452.0,172.0,5.0,6041.0,50.0,458.0,167.0,4.0,11.0,0.0,156.0,56.0,455.0,4732.0,2008.0,5.0,2712.0,3.0,48.0,44.0,481.0,938.0,72.0,2.0,1225.0,566.0,1.0,0.0,79.0,23.0,34.0,13962.0,43.0,163.0,157.0,17.0,2.0,271.0,9981.0,381.0,991.0,50.0,3.0,79.0,2857.0,9.0,9.0,101.0,107.0,271.0,1679.0,0.0,27.0,449.0,5.0,1844.0,9981.0,7.0,1657.0,228.0,78.0,3.0,49.0,2016.0,0.01,0.25,0.22,0.38
