club id,club name,club abbreviation,accurate back zone pass,accurate corners intobox,accurate cross,accurate cross nocorner,accurate fwd zone pass,accurate goal kicks,accurate launches,accurate layoffs,accurate long balls,accurate pass,accurate throws,aerial lost,aerial won,att hd goal,att ibox goal,att lf goal,att obox goal,att pen goal,att rf goal,att setpiece,attempts conceded ibox,attempts conceded obox,ball recovery,blocked scoring att,clean sheet,clearance off line,corner taken,drops,failed back zone pass,failed corner intobox,failed cross,failed cross nocorner,failed dribble,failed fwd zone pass,failed launches,failed layoffs,failed long balls,failed short pass,failed throws,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,goals conceded ibox,goals conceded obox,good claim,ground duel lost,ground duel won,hand ball,inaccurate goal kicks,interception,last man tackle,lost tackle,ontarget scoring att,open play pass,other goals,outfielder block,own goals,own goals accrued,att pen taken,pen goals conceded,penalty conceded,penalty won,penalty save,poss lost all,possession percentage,post scoring att,saves,shots conc onfield,successful open play pass,successful dribble,successful short pass,total att assist,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,won tackle,yellow card,second yellow,red card,total red card,duel,duel lost,duel won,aerial duel,ground duel,accurate cross per,accurate fwd zone pass per,accurate pass per,accurate shooting per,goal conversion per,tackle success per,total matches,home matches,away matches,total wins,home wins,away wins,total losses,home losses,away losses,total draws,home draws,away draws,successfull dribble,successfull short pass,att freekick goal,pts gained losing pos,att pen miss,pts dropped winning pos
5.0,New York Red Bulls,RBNY,5157.0,49.0,195.0,133.0,5795.0,371.0,165.0,555.0,908.0,10757.0,572.0,427.0,494.0,12.0,51.0,21.0,7.0,3.0,22.0,19.0,94.0,55.0,2241.0,75.0,11.0,5.0,141.0,3.0,686.0,83.0,503.0,389.0,208.0,2795.0,491.0,51.0,757.0,2221.0,179.0,437.0,327.0,34.0,57.0,58.0,41.0,37.0,4.0,27.0,1230.0,1204.0,27.0,161.0,605.0,5.0,126.0,145.0,13309.0,1.0,97.0,2.0,2.0,3.0,7.0,10.0,3.0,2.0,5394.0,50.0,12.0,105.0,453.0,10505.0,232.0,9849.0,258.0,942.0,96.0,13735.0,2978.0,404.0,141.0,519.0,40.0,2.0,3.0,5.0,3355.0,1657.0,1698.0,921.0,2434.0,27.94,70.96,78.32,35.89,14.36,80.47,34.0,17.0,17.0,17.0,11.0,6.0,9.0,2.0,7.0,8.0,4.0,4.0,232.0,9849.0,,,,
6.0,Sporting Kansas City,SKC,4969.0,63.0,195.0,115.0,5999.0,258.0,197.0,868.0,1308.0,10773.0,629.0,557.0,708.0,14.0,41.0,10.0,6.0,4.0,22.0,18.0,63.0,37.0,2178.0,118.0,13.0,2.0,171.0,2.0,617.0,72.0,468.0,357.0,287.0,2970.0,517.0,68.0,892.0,2227.0,227.0,511.0,426.0,34.0,43.0,47.0,30.0,25.0,5.0,28.0,1442.0,1324.0,28.0,115.0,794.0,4.0,173.0,155.0,13330.0,,65.0,,1.0,4.0,1.0,1.0,4.0,,5584.0,55.0,7.0,69.0,301.0,10392.0,184.0,9465.0,348.0,1083.0,50.0,13892.0,3119.0,501.0,171.0,540.0,67.0,,1.0,1.0,4031.0,1999.0,2032.0,1265.0,2766.0,29.41,69.88,77.55,30.94,9.38,75.74,34.0,17.0,17.0,17.0,9.0,8.0,10.0,5.0,5.0,7.0,3.0,4.0,184.0,9465.0,1.0,3.0,,
7.0,Colorado Rapids,COL,4662.0,63.0,194.0,115.0,5590.0,314.0,243.0,475.0,1077.0,10058.0,596.0,548.0,634.0,10.0,36.0,8.0,9.0,3.0,24.0,16.0,93.0,49.0,1986.0,92.0,10.0,6.0,150.0,,637.0,82.0,472.0,356.0,203.0,2877.0,533.0,56.0,825.0,2217.0,232.0,426.0,373.0,34.0,39.0,45.0,38.0,28.0,10.0,19.0,1229.0,1239.0,29.0,156.0,541.0,2.0,126.0,141.0,12607.0,1.0,77.0,,2.0,4.0,6.0,8.0,4.0,1.0,5469.0,50.0,17.0,99.0,395.0,9761.0,210.0,8981.0,304.0,980.0,71.0,13100.0,3042.0,460.0,150.0,530.0,42.0,1.0,3.0,4.0,3650.0,1777.0,1873.0,1182.0,2468.0,29.13,69.17,76.78,30.65,9.78,80.79,34.0,17.0,17.0,14.0,10.0,4.0,11.0,3.0,8.0,9.0,4.0,5.0,210.0,8981.0,,,,
8.0,Columbus Crew SC,CLB,4109.0,57.0,136.0,65.0,5822.0,291.0,181.0,601.0,1070.0,9795.0,549.0,505.0,617.0,5.0,37.0,7.0,5.0,6.0,28.0,20.0,105.0,58.0,2300.0,107.0,9.0,3.0,154.0,5.0,590.0,81.0,408.0,291.0,210.0,2977.0,497.0,71.0,908.0,2251.0,179.0,460.0,416.0,34.0,31.0,42.0,46.0,38.0,8.0,37.0,1230.0,1263.0,29.0,192.0,710.0,2.0,126.0,151.0,12388.0,1.0,113.0,,1.0,9.0,5.0,5.0,9.0,,5457.0,49.0,9.0,114.0,446.0,9514.0,192.0,8725.0,346.0,1048.0,89.0,12954.0,3159.0,479.0,154.0,529.0,63.0,1.0,1.0,2.0,3615.0,1735.0,1880.0,1122.0,2493.0,25.0,68.88,75.61,31.52,8.77,80.76,34.0,17.0,17.0,12.0,7.0,5.0,17.0,7.0,10.0,5.0,3.0,2.0,192.0,8725.0,,,1.0,
9.0,New England Revolution,NE,3961.0,33.0,109.0,68.0,5404.0,358.0,232.0,399.0,926.0,9256.0,611.0,512.0,466.0,4.0,43.0,9.0,6.0,3.0,34.0,28.0,86.0,49.0,2100.0,84.0,14.0,4.0,155.0,1.0,551.0,84.0,356.0,238.0,274.0,2758.0,588.0,57.0,899.0,2054.0,246.0,440.0,419.0,34.0,45.0,49.0,38.0,28.0,10.0,29.0,1393.0,1296.0,34.0,170.0,595.0,1.0,121.0,148.0,11672.0,1.0,102.0,2.0,1.0,5.0,3.0,3.0,5.0,,5431.0,47.0,9.0,93.0,419.0,8924.0,262.0,8330.0,267.0,940.0,66.0,12209.0,2953.0,398.0,155.0,493.0,48.0,1.0,7.0,8.0,3667.0,1905.0,1762.0,978.0,2689.0,23.44,68.79,75.81,37.19,12.31,80.29,34.0,17.0,17.0,14.0,8.0,6.0,11.0,5.0,6.0,9.0,4.0,5.0,262.0,8330.0,1.0,,,
10.0,San Jose Earthquakes,SJ,4286.0,69.0,209.0,120.0,5206.0,310.0,308.0,602.0,1018.0,9283.0,667.0,667.0,680.0,8.0,29.0,7.0,6.0,2.0,19.0,17.0,100.0,50.0,2098.0,109.0,9.0,,202.0,4.0,601.0,124.0,636.0,469.0,218.0,3127.0,598.0,73.0,915.0,2177.0,238.0,411.0,399.0,34.0,37.0,35.0,42.0,38.0,4.0,31.0,1123.0,1170.0,20.0,142.0,645.0,1.0,124.0,140.0,11849.0,,87.0,,1.0,2.0,3.0,3.0,2.0,,5652.0,48.0,8.0,109.0,437.0,9000.0,164.0,8265.0,304.0,1031.0,86.0,12375.0,3092.0,439.0,202.0,483.0,59.0,4.0,3.0,7.0,3640.0,1790.0,1850.0,1347.0,2293.0,24.73,66.73,75.01,31.89,7.97,79.57,34.0,17.0,17.0,14.0,11.0,3.0,11.0,1.0,10.0,9.0,5.0,4.0,164.0,8265.0,1.0,,,
11.0,Chicago Fire,CHI,3408.0,52.0,169.0,105.0,4829.0,222.0,198.0,362.0,792.0,8068.0,621.0,521.0,511.0,6.0,41.0,13.0,6.0,3.0,23.0,22.0,113.0,46.0,2272.0,125.0,6.0,2.0,177.0,2.0,602.0,101.0,514.0,377.0,256.0,2965.0,563.0,64.0,816.0,2237.0,226.0,394.0,372.0,34.0,39.0,47.0,52.0,44.0,8.0,24.0,1212.0,1287.0,23.0,220.0,672.0,5.0,137.0,182.0,10559.0,3.0,92.0,3.0,2.0,5.0,3.0,4.0,5.0,1.0,5584.0,44.0,15.0,106.0,475.0,7751.0,264.0,7276.0,341.0,947.0,62.0,11121.0,3053.0,505.0,177.0,514.0,49.0,1.0,4.0,5.0,3531.0,1733.0,1798.0,1032.0,2499.0,24.74,65.53,72.55,36.04,9.31,78.96,34.0,17.0,17.0,14.0,10.0,4.0,13.0,4.0,9.0,7.0,3.0,4.0,264.0,7276.0,1.0,,2.0,
12.0,LA Galaxy,LA,4719.0,64.0,203.0,126.0,6784.0,285.0,186.0,652.0,1047.0,11300.0,670.0,508.0,491.0,7.0,45.0,12.0,8.0,6.0,33.0,17.0,72.0,46.0,2199.0,109.0,13.0,3.0,217.0,2.0,498.0,124.0,580.0,431.0,168.0,3138.0,544.0,88.0,791.0,2265.0,178.0,386.0,374.0,34.0,53.0,53.0,38.0,32.0,6.0,12.0,1106.0,1139.0,26.0,143.0,582.0,1.0,130.0,167.0,13877.0,,64.0,,1.0,8.0,,1.0,8.0,1.0,5468.0,52.0,16.0,80.0,326.0,10986.0,182.0,10253.0,360.0,1027.0,44.0,14356.0,3056.0,489.0,217.0,449.0,36.0,,1.0,1.0,3244.0,1614.0,1630.0,999.0,2245.0,25.93,72.01,78.71,34.15,10.84,77.55,34.0,17.0,17.0,15.0,11.0,4.0,11.0,2.0,9.0,8.0,4.0,4.0,182.0,10253.0,1.0,,,
13.0,D.C. United,DC,5648.0,48.0,166.0,109.0,5778.0,374.0,188.0,616.0,1090.0,11260.0,664.0,540.0,453.0,4.0,15.0,5.0,7.0,2.0,12.0,23.0,126.0,44.0,2190.0,98.0,5.0,3.0,187.0,3.0,648.0,114.0,538.0,399.0,260.0,2938.0,572.0,63.0,920.0,2128.0,136.0,393.0,388.0,34.0,20.0,22.0,59.0,55.0,4.0,36.0,1195.0,1174.0,16.0,155.0,614.0,2.0,125.0,125.0,13798.0,,106.0,4.0,1.0,3.0,5.0,7.0,3.0,2.0,5512.0,54.0,12.0,109.0,468.0,10926.0,212.0,10170.0,287.0,971.0,101.0,14308.0,3048.0,400.0,187.0,449.0,52.0,,,,3362.0,1735.0,1627.0,993.0,2369.0,23.58,70.04,78.7,31.25,5.5,78.22,34.0,17.0,17.0,3.0,3.0,,24.0,10.0,14.0,7.0,4.0,3.0,212.0,10170.0,1.0,,,
14.0,Portland Timbers,POR,4973.0,55.0,155.0,94.0,6719.0,305.0,173.0,656.0,1064.0,11537.0,668.0,622.0,613.0,8.0,45.0,13.0,9.0,3.0,32.0,25.0,94.0,42.0,2180.0,102.0,15.0,4.0,171.0,3.0,644.0,95.0,534.0,406.0,247.0,2949.0,572.0,73.0,781.0,2278.0,148.0,436.0,421.0,34.0,53.0,54.0,33.0,28.0,5.0,31.0,1303.0,1360.0,34.0,158.0,584.0,2.0,151.0,156.0,14028.0,,97.0,,1.0,3.0,4.0,5.0,3.0,,5639.0,54.0,15.0,99.0,429.0,11165.0,260.0,10473.0,300.0,1074.0,94.0,14596.0,3059.0,445.0,171.0,528.0,48.0,,3.0,3.0,3898.0,1925.0,1973.0,1235.0,2663.0,22.5,73.1,79.04,35.06,12.13,77.76,34.0,17.0,17.0,14.0,11.0,3.0,5.0,1.0,4.0,15.0,5.0,10.0,260.0,10473.0,2.0,,,
