club id,club name,club abbreviation,accurate back zone pass,accurate corners intobox,accurate cross,accurate cross nocorner,accurate fwd zone pass,accurate goal kicks,accurate launches,accurate layoffs,accurate long balls,accurate pass,accurate throws,aerial lost,aerial won,att freekick goal,att hd goal,att ibox goal,att lf goal,att obox goal,att pen goal,att rf goal,att setpiece,attempted tackle foul,attempts conceded ibox,attempts conceded obox,ball recovery,blocked scoring att,clean sheet,corner taken,drops,failed back zone pass,failed corner intobox,failed cross,failed cross nocorner,failed dribble,failed fwd zone pass,failed launches,failed layoffs,failed long balls,failed short pass,failed throws,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,goals conceded ibox,goals conceded obox,good claim,ground duel lost,ground duel won,hand ball,inaccurate goal kicks,interception,last man tackle,lost tackle,ontarget scoring att,open play pass,outfielder block,own goals,own goals accrued,att pen taken,pen goals conceded,penalty conceded,penalty won,penalty save,poss lost all,possession percentage,post scoring att,pts dropped winning pos,pts gained losing pos,putthrough block dist,putthrough block dist won,saves,shots conc onfield,successful open play pass,successful dribble,successful short pass,total att assist,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,won tackle,yellow card,red card,total red card,duel,duel lost,duel won,aerial duel,ground duel,accurate cross per,accurate fwd zone pass per,accurate pass per,accurate shooting per,goal conversion per,tackle success per,total matches,home matches,away matches,total wins,home wins,away wins,total losses,home losses,away losses,total draws,home draws,away draws,successfull dribble,successfull short pass,clearance off line,second yellow,times tackled,att pen miss,other goals
5.0,New York Red Bulls,RBNY,4360.0,57.0,173.0,103.0,6925.0,316.0,198.0,136.0,786.0,11112.0,623.0,496.0,519.0,3.0,15.0,56.0,12.0,5.0,1.0,32.0,19.0,241.0,97.0,47.0,1988.0,113.0,11.0,185.0,6.0,811.0,74.0,452.0,345.0,204.0,3434.0,585.0,20.0,1308.0,2485.0,172.0,450.0,426.0,34.0,64.0,61.0,44.0,38.0,6.0,21.0,1251.0,1332.0,22.0,126.0,673.0,1.0,237.0,174.0,13952.0,98.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,5857.0,54.0,12.0,19.0,13.0,527.0,244.0,101.0,399.0,10484.0,200.0,10326.0,300.0,619.0,78.0,14905.0,3793.0,441.0,185.0,489.0,62.0,4.0,4.0,3598.0,1747.0,1851.0,1015.0,2583.0,27.68,69.37,74.55,39.46,13.83,67.36,34.0,17.0,17.0,16.0,13.0,3.0,9.0,2.0,7.0,9.0,2.0,7.0,200.0,10326.0,,,,,
6.0,Sporting Kansas City,SKC,5270.0,61.0,160.0,92.0,6361.0,206.0,188.0,103.0,1210.0,11471.0,600.0,397.0,408.0,,11.0,36.0,17.0,6.0,5.0,14.0,29.0,212.0,85.0,41.0,1670.0,112.0,10.0,198.0,3.0,603.0,111.0,472.0,323.0,238.0,3074.0,625.0,10.0,1309.0,1896.0,164.0,420.0,392.0,34.0,46.0,42.0,41.0,34.0,7.0,6.0,1137.0,1217.0,21.0,134.0,657.0,2.0,174.0,146.0,13854.0,62.0,3.0,,5.0,3.0,4.0,5.0,1.0,5149.0,55.0,10.0,11.0,10.0,385.0,179.0,83.0,323.0,10946.0,188.0,10261.0,311.0,524.0,62.0,14676.0,3205.0,478.0,198.0,476.0,60.0,3.0,5.0,3159.0,1534.0,1625.0,805.0,2354.0,25.32,70.44,78.16,30.54,8.79,73.23,34.0,17.0,17.0,13.0,10.0,3.0,13.0,4.0,9.0,8.0,3.0,5.0,188.0,10261.0,2.0,2.0,553.0,,
7.0,Colorado Rapids,COL,5684.0,43.0,136.0,79.0,5696.0,348.0,223.0,146.0,1221.0,11244.0,665.0,458.0,494.0,2.0,7.0,31.0,14.0,8.0,2.0,18.0,17.0,251.0,77.0,53.0,1773.0,113.0,13.0,132.0,6.0,727.0,78.0,401.0,292.0,194.0,2817.0,589.0,20.0,1239.0,1904.0,178.0,458.0,323.0,34.0,44.0,39.0,32.0,27.0,5.0,17.0,1229.0,1033.0,19.0,116.0,618.0,1.0,171.0,151.0,13651.0,106.0,,,3.0,4.0,8.0,3.0,2.0,5094.0,49.0,16.0,13.0,4.0,410.0,230.0,93.0,419.0,10751.0,152.0,10023.0,306.0,699.0,74.0,14387.0,3143.0,435.0,132.0,404.0,83.0,1.0,2.0,3214.0,1687.0,1527.0,952.0,2262.0,25.33,69.71,78.15,34.71,8.97,70.26,34.0,17.0,17.0,15.0,11.0,4.0,6.0,,6.0,13.0,6.0,7.0,152.0,10023.0,5.0,1.0,,,
8.0,Columbus Crew,CLB,6835.0,46.0,164.0,110.0,6672.0,379.0,140.0,142.0,1220.0,13343.0,714.0,382.0,322.0,,8.0,48.0,6.0,2.0,6.0,34.0,11.0,156.0,131.0,48.0,1849.0,97.0,8.0,200.0,2.0,759.0,131.0,577.0,420.0,248.0,2734.0,382.0,13.0,977.0,1939.0,99.0,312.0,353.0,34.0,52.0,50.0,58.0,47.0,11.0,19.0,1104.0,1143.0,32.0,99.0,529.0,2.0,165.0,167.0,15486.0,70.0,3.0,2.0,7.0,4.0,6.0,7.0,2.0,4966.0,55.0,19.0,25.0,6.0,395.0,196.0,120.0,427.0,12752.0,239.0,12123.0,321.0,533.0,104.0,16259.0,2916.0,463.0,200.0,393.0,33.0,3.0,3.0,2951.0,1486.0,1465.0,704.0,2247.0,22.13,75.11,82.07,36.07,10.8,70.43,34.0,17.0,17.0,8.0,6.0,2.0,14.0,3.0,11.0,12.0,8.0,4.0,239.0,12123.0,1.0,,,,
9.0,New England Revolution,NE,4269.0,46.0,141.0,83.0,6810.0,326.0,212.0,122.0,1111.0,10938.0,602.0,430.0,378.0,2.0,8.0,36.0,9.0,8.0,3.0,24.0,18.0,221.0,107.0,32.0,1846.0,115.0,8.0,174.0,4.0,635.0,70.0,472.0,353.0,243.0,3067.0,565.0,25.0,1264.0,1966.0,179.0,426.0,390.0,34.0,45.0,44.0,54.0,47.0,7.0,13.0,1287.0,1199.0,24.0,158.0,603.0,1.0,190.0,163.0,13274.0,110.0,,3.0,4.0,7.0,9.0,4.0,2.0,5329.0,49.0,23.0,15.0,7.0,430.0,214.0,86.0,447.0,10358.0,234.0,9827.0,336.0,517.0,72.0,14168.0,3230.0,475.0,174.0,400.0,55.0,4.0,4.0,3294.0,1717.0,1577.0,808.0,2486.0,23.0,71.99,77.2,34.32,9.26,67.8,34.0,17.0,17.0,11.0,9.0,2.0,14.0,4.0,10.0,9.0,4.0,5.0,234.0,9827.0,3.0,,,1.0,
10.0,San Jose Earthquakes,SJ,4653.0,34.0,153.0,104.0,6128.0,257.0,273.0,113.0,1128.0,10628.0,621.0,420.0,344.0,,7.0,28.0,7.0,4.0,3.0,18.0,23.0,221.0,112.0,38.0,1904.0,101.0,8.0,169.0,8.0,752.0,113.0,559.0,391.0,269.0,2900.0,630.0,7.0,1271.0,1822.0,149.0,413.0,465.0,34.0,29.0,32.0,40.0,36.0,4.0,34.0,1215.0,1316.0,22.0,156.0,571.0,1.0,167.0,128.0,12795.0,89.0,2.0,,5.0,5.0,5.0,5.0,,5290.0,49.0,10.0,6.0,6.0,402.0,197.0,107.0,411.0,10065.0,265.0,9500.0,274.0,586.0,69.0,13721.0,3093.0,409.0,169.0,432.0,52.0,1.0,2.0,3295.0,1635.0,1660.0,764.0,2531.0,21.49,71.85,77.46,31.3,7.82,72.12,34.0,17.0,17.0,8.0,7.0,1.0,12.0,3.0,9.0,14.0,7.0,7.0,265.0,9500.0,3.0,1.0,,1.0,
11.0,Chicago Fire FC,CHI,5255.0,36.0,124.0,77.0,4278.0,342.0,193.0,113.0,1073.0,9409.0,633.0,404.0,390.0,1.0,6.0,36.0,13.0,6.0,2.0,21.0,13.0,213.0,122.0,68.0,1797.0,91.0,8.0,157.0,5.0,874.0,94.0,404.0,275.0,275.0,2721.0,677.0,16.0,1507.0,1684.0,160.0,412.0,370.0,34.0,41.0,42.0,58.0,48.0,10.0,17.0,1248.0,1221.0,20.0,172.0,703.0,,156.0,125.0,11673.0,122.0,2.0,2.0,2.0,3.0,3.0,2.0,,5205.0,44.0,7.0,21.0,7.0,432.0,218.0,129.0,504.0,8822.0,253.0,8336.0,279.0,692.0,88.0,12600.0,3191.0,394.0,157.0,462.0,42.0,3.0,3.0,3263.0,1652.0,1611.0,794.0,2469.0,23.48,64.19,74.67,31.73,10.66,74.76,34.0,17.0,17.0,7.0,6.0,1.0,17.0,3.0,14.0,10.0,8.0,2.0,253.0,8336.0,6.0,,,,
12.0,LA Galaxy,LA,6008.0,41.0,146.0,91.0,6191.0,334.0,153.0,139.0,1211.0,12053.0,553.0,377.0,417.0,,7.0,49.0,28.0,5.0,4.0,17.0,13.0,214.0,107.0,64.0,1745.0,60.0,9.0,138.0,5.0,637.0,88.0,484.0,365.0,217.0,2844.0,522.0,11.0,1232.0,1765.0,121.0,361.0,375.0,34.0,59.0,54.0,39.0,31.0,8.0,28.0,1065.0,1095.0,14.0,173.0,597.0,3.0,185.0,142.0,14210.0,134.0,1.0,2.0,6.0,3.0,4.0,6.0,1.0,4805.0,51.0,7.0,18.0,20.0,394.0,211.0,128.0,523.0,11532.0,186.0,10842.0,238.0,647.0,59.0,15050.0,2997.0,358.0,138.0,366.0,52.0,2.0,3.0,2954.0,1442.0,1512.0,794.0,2160.0,23.17,71.92,80.09,39.66,15.08,66.42,34.0,17.0,17.0,12.0,8.0,4.0,6.0,1.0,5.0,16.0,8.0,8.0,186.0,10842.0,4.0,1.0,,1.0,
13.0,D.C. United,DC,4209.0,61.0,171.0,99.0,5209.0,255.0,209.0,108.0,1030.0,9247.0,632.0,509.0,507.0,,11.0,50.0,17.0,3.0,3.0,25.0,11.0,265.0,112.0,40.0,1896.0,108.0,9.0,155.0,4.0,823.0,68.0,400.0,305.0,300.0,3060.0,655.0,21.0,1435.0,2048.0,195.0,507.0,396.0,34.0,55.0,53.0,47.0,39.0,8.0,17.0,1433.0,1304.0,23.0,185.0,631.0,1.0,191.0,163.0,11769.0,104.0,,,4.0,4.0,4.0,4.0,,5619.0,47.0,9.0,16.0,11.0,449.0,214.0,106.0,452.0,8716.0,259.0,8217.0,321.0,673.0,95.0,12730.0,3483.0,471.0,155.0,474.0,65.0,2.0,3.0,3753.0,1942.0,1811.0,1016.0,2737.0,29.95,65.45,72.64,34.61,11.25,71.28,34.0,17.0,17.0,11.0,9.0,2.0,10.0,4.0,6.0,13.0,4.0,9.0,259.0,8217.0,,1.0,,,
14.0,Portland Timbers,POR,4703.0,44.0,127.0,69.0,5667.0,312.0,160.0,154.0,1161.0,10243.0,490.0,365.0,363.0,3.0,4.0,43.0,4.0,5.0,7.0,40.0,23.0,241.0,132.0,54.0,1688.0,101.0,6.0,162.0,3.0,629.0,104.0,440.0,304.0,208.0,2712.0,477.0,16.0,1084.0,1817.0,189.0,438.0,441.0,34.0,32.0,48.0,53.0,44.0,9.0,7.0,1183.0,1294.0,21.0,175.0,510.0,2.0,184.0,151.0,12211.0,105.0,2.0,,9.0,7.0,7.0,9.0,,4887.0,48.0,16.0,16.0,5.0,459.0,233.0,131.0,492.0,9645.0,219.0,9082.0,318.0,654.0,77.0,13144.0,2901.0,449.0,162.0,465.0,53.0,2.0,3.0,3205.0,1548.0,1657.0,728.0,2477.0,22.4,70.92,77.93,33.63,10.69,71.65,34.0,17.0,17.0,12.0,12.0,,14.0,3.0,11.0,8.0,2.0,6.0,219.0,9082.0,3.0,1.0,,,
