club id,club name,club abbreviation,accurate back zone pass,accurate corners intobox,accurate cross,accurate cross nocorner,accurate fwd zone pass,accurate goal kicks,accurate launches,accurate layoffs,accurate long balls,accurate pass,accurate throws,aerial lost,aerial won,att hd goal,att ibox goal,att lf goal,att obox goal,att pen goal,att rf goal,att setpiece,attempted tackle foul,attempts conceded ibox,attempts conceded obox,ball recovery,blocked scoring att,clean sheet,clearance off line,corner taken,drops,failed back zone pass,failed corner intobox,failed cross,failed cross nocorner,failed dribble,failed fwd zone pass,failed launches,failed layoffs,failed long balls,failed short pass,failed throws,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,goals conceded ibox,goals conceded obox,good claim,ground duel lost,ground duel won,hand ball,inaccurate goal kicks,interception,lost tackle,ontarget scoring att,open play pass,outfielder block,own goals,own goals accrued,att pen miss,att pen taken,pen goals conceded,penalty conceded,penalty won,penalty save,poss lost all,possession percentage,post scoring att,pts dropped winning pos,pts gained losing pos,putthrough block dist,putthrough block dist won,saves,shots conc onfield,successful open play pass,successful dribble,successful short pass,total att assist,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,won tackle,yellow card,second yellow,red card,total red card,duel,duel lost,duel won,aerial duel,ground duel,accurate cross per,accurate fwd zone pass per,accurate pass per,accurate shooting per,goal conversion per,tackle success per,total matches,home matches,away matches,total wins,home wins,away wins,total losses,home losses,away losses,total draws,home draws,away draws,successfull dribble,successfull short pass,att freekick goal,last man tackle,other goals,times tackled
5.0,New York Red Bulls,RBNY,3173.0,64.0,149.0,72.0,5906.0,210.0,180.0,128.0,599.0,8930.0,704.0,779.0,737.0,10.0,50.0,18.0,3.0,4.0,22.0,8.0,233.0,110.0,35.0,2346.0,124.0,9.0,2.0,188.0,4.0,872.0,86.0,460.0,339.0,252.0,3682.0,641.0,32.0,1393.0,2701.0,236.0,403.0,431.0,34.0,57.0,53.0,51.0,48.0,3.0,15.0,1324.0,1346.0,25.0,165.0,409.0,248.0,159.0,12089.0,96.0,2.0,3.0,1.0,5.0,6.0,7.0,5.0,1.0,6075.0,47.0,8.0,22.0,12.0,670.0,309.0,92.0,430.0,8396.0,255.0,8331.0,299.0,668.0,69.0,13024.0,4094.0,448.0,188.0,430.0,52.0,2.0,3.0,5.0,4186.0,2103.0,2083.0,1516.0,2670.0,24.47,64.12,68.57,35.49,11.83,63.42,34.0,17.0,17.0,14.0,9.0,5.0,14.0,5.0,9.0,6.0,3.0,3.0,255.0,8331.0,,,,
6.0,Sporting Kansas City,SKC,7020.0,57.0,118.0,69.0,6283.0,365.0,104.0,171.0,1024.0,13185.0,594.0,507.0,452.0,6.0,40.0,25.0,9.0,6.0,15.0,27.0,251.0,135.0,51.0,1929.0,114.0,6.0,2.0,191.0,1.0,652.0,94.0,410.0,278.0,225.0,2480.0,372.0,12.0,941.0,1781.0,75.0,419.0,394.0,34.0,42.0,49.0,67.0,59.0,8.0,4.0,1254.0,1131.0,16.0,63.0,310.0,186.0,172.0,15044.0,103.0,,3.0,2.0,9.0,2.0,5.0,9.0,3.0,4334.0,52.0,18.0,28.0,8.0,497.0,235.0,119.0,463.0,12487.0,271.0,12161.0,316.0,551.0,47.0,15907.0,2722.0,499.0,191.0,294.0,74.0,2.0,5.0,7.0,3344.0,1761.0,1583.0,959.0,2385.0,22.35,74.86,82.89,34.47,9.82,61.25,34.0,17.0,17.0,10.0,7.0,3.0,16.0,6.0,10.0,8.0,4.0,4.0,271.0,12161.0,2.0,3.0,,
7.0,Colorado Rapids,COL,4505.0,61.0,156.0,81.0,4862.0,324.0,139.0,154.0,947.0,9211.0,561.0,521.0,556.0,15.0,51.0,14.0,7.0,5.0,27.0,14.0,222.0,142.0,40.0,1886.0,104.0,6.0,4.0,169.0,2.0,681.0,103.0,486.0,343.0,237.0,2512.0,429.0,20.0,1128.0,1579.0,99.0,407.0,350.0,34.0,46.0,58.0,63.0,57.0,6.0,8.0,1265.0,1155.0,20.0,193.0,350.0,219.0,177.0,10999.0,142.0,7.0,1.0,,8.0,7.0,9.0,8.0,2.0,4437.0,42.0,13.0,17.0,9.0,469.0,215.0,115.0,527.0,8685.0,318.0,8264.0,312.0,691.0,50.0,11918.0,2707.0,483.0,169.0,291.0,70.0,2.0,6.0,8.0,3497.0,1786.0,1711.0,1077.0,2420.0,24.3,69.9,77.29,36.65,12.01,57.06,34.0,17.0,17.0,12.0,9.0,3.0,16.0,6.0,10.0,6.0,2.0,4.0,318.0,8264.0,1.0,1.0,1.0,
8.0,Columbus Crew,CLB,6419.0,46.0,128.0,74.0,5943.0,343.0,133.0,137.0,1041.0,12234.0,618.0,532.0,472.0,7.0,35.0,14.0,4.0,4.0,16.0,12.0,221.0,97.0,42.0,2080.0,89.0,5.0,1.0,189.0,2.0,844.0,116.0,441.0,289.0,254.0,2585.0,420.0,23.0,1086.0,1902.0,114.0,398.0,349.0,34.0,36.0,39.0,47.0,39.0,8.0,8.0,1260.0,1227.0,22.0,126.0,345.0,226.0,127.0,14408.0,94.0,,2.0,,5.0,4.0,5.0,5.0,1.0,4745.0,49.0,12.0,11.0,11.0,553.0,263.0,91.0,442.0,11668.0,317.0,11193.0,263.0,557.0,55.0,15222.0,2988.0,395.0,189.0,348.0,57.0,,1.0,1.0,3491.0,1792.0,1699.0,1004.0,2487.0,22.5,73.06,80.37,32.15,9.87,60.63,34.0,17.0,17.0,10.0,6.0,4.0,16.0,6.0,10.0,8.0,5.0,3.0,317.0,11193.0,,1.0,,
9.0,New England Revolution,NE,4253.0,35.0,108.0,67.0,5976.0,343.0,161.0,140.0,945.0,10121.0,609.0,537.0,540.0,8.0,42.0,13.0,8.0,5.0,28.0,10.0,199.0,150.0,44.0,2179.0,103.0,6.0,5.0,160.0,3.0,684.0,86.0,428.0,308.0,293.0,2851.0,496.0,16.0,1083.0,2024.0,133.0,435.0,413.0,34.0,50.0,50.0,57.0,54.0,3.0,15.0,1373.0,1266.0,23.0,108.0,359.0,222.0,143.0,12280.0,127.0,,1.0,,7.0,4.0,4.0,7.0,,5046.0,45.0,10.0,18.0,8.0,506.0,241.0,135.0,504.0,9441.0,333.0,9176.0,300.0,647.0,56.0,13228.0,3107.0,455.0,160.0,313.0,69.0,3.0,2.0,5.0,3716.0,1910.0,1806.0,1077.0,2639.0,20.15,70.78,76.51,31.43,10.99,58.5,34.0,17.0,17.0,11.0,8.0,3.0,11.0,5.0,6.0,12.0,4.0,8.0,333.0,9176.0,,5.0,,
10.0,San Jose Earthquakes,SJ,7378.0,53.0,131.0,75.0,7137.0,310.0,119.0,140.0,1296.0,14384.0,596.0,425.0,362.0,4.0,46.0,11.0,6.0,1.0,34.0,14.0,240.0,115.0,51.0,2064.0,174.0,7.0,3.0,227.0,,756.0,82.0,456.0,357.0,241.0,2381.0,348.0,24.0,902.0,1779.0,84.0,425.0,414.0,34.0,50.0,52.0,55.0,47.0,8.0,13.0,1306.0,1393.0,19.0,80.0,361.0,241.0,203.0,16118.0,91.0,2.0,2.0,,1.0,4.0,7.0,1.0,1.0,4458.0,58.0,14.0,23.0,13.0,514.0,236.0,113.0,445.0,13594.0,398.0,13088.0,434.0,505.0,76.0,17065.0,2681.0,595.0,227.0,363.0,72.0,2.0,3.0,5.0,3486.0,1731.0,1755.0,787.0,2699.0,22.32,78.45,84.29,34.12,8.74,60.1,34.0,17.0,17.0,13.0,10.0,3.0,16.0,5.0,11.0,5.0,2.0,3.0,398.0,13088.0,,1.0,1.0,
11.0,Chicago Fire FC,CHI,5844.0,43.0,129.0,76.0,6386.0,358.0,139.0,119.0,1040.0,12101.0,579.0,473.0,473.0,15.0,51.0,14.0,4.0,3.0,24.0,12.0,232.0,92.0,51.0,2121.0,104.0,9.0,4.0,170.0,2.0,707.0,91.0,435.0,313.0,218.0,2655.0,441.0,16.0,1124.0,1803.0,104.0,408.0,346.0,34.0,48.0,55.0,47.0,40.0,7.0,19.0,1197.0,1193.0,14.0,86.0,360.0,238.0,165.0,14253.0,89.0,,2.0,1.0,5.0,4.0,5.0,5.0,1.0,4606.0,48.0,22.0,15.0,9.0,453.0,211.0,94.0,380.0,11520.0,307.0,11061.0,332.0,545.0,61.0,15028.0,2927.0,480.0,170.0,325.0,62.0,,2.0,2.0,3336.0,1670.0,1666.0,946.0,2390.0,22.87,73.81,80.52,34.38,11.46,57.73,34.0,17.0,17.0,10.0,8.0,2.0,12.0,2.0,10.0,12.0,7.0,5.0,307.0,11061.0,1.0,2.0,,
12.0,LA Galaxy,LA,5782.0,52.0,195.0,139.0,7076.0,344.0,148.0,162.0,1032.0,12663.0,535.0,444.0,597.0,15.0,54.0,13.0,4.0,7.0,29.0,18.0,205.0,141.0,64.0,1949.0,117.0,8.0,2.0,185.0,1.0,589.0,106.0,525.0,407.0,211.0,2559.0,353.0,16.0,902.0,1721.0,75.0,383.0,288.0,34.0,62.0,58.0,59.0,53.0,6.0,15.0,1173.0,1192.0,23.0,124.0,361.0,211.0,173.0,14380.0,129.0,3.0,,,8.0,6.0,8.0,8.0,2.0,4364.0,50.0,16.0,13.0,10.0,472.0,225.0,145.0,568.0,11997.0,340.0,11631.0,326.0,651.0,85.0,15286.0,2623.0,469.0,185.0,363.0,70.0,,3.0,3.0,3406.0,1617.0,1789.0,1041.0,2365.0,27.08,77.18,82.84,36.89,12.37,63.24,34.0,17.0,17.0,16.0,11.0,5.0,15.0,5.0,10.0,3.0,1.0,2.0,340.0,11631.0,,,1.0,
13.0,D.C. United,DC,5744.0,71.0,154.0,65.0,6113.0,304.0,99.0,161.0,887.0,11703.0,611.0,537.0,603.0,3.0,34.0,9.0,8.0,4.0,29.0,34.0,215.0,112.0,60.0,1945.0,112.0,14.0,6.0,163.0,2.0,871.0,73.0,372.0,272.0,250.0,2519.0,470.0,29.0,1066.0,1952.0,119.0,387.0,383.0,34.0,32.0,42.0,38.0,33.0,5.0,27.0,1283.0,1287.0,24.0,143.0,328.0,201.0,123.0,13906.0,181.0,1.0,1.0,,4.0,2.0,6.0,4.0,1.0,4707.0,48.0,8.0,5.0,8.0,524.0,233.0,129.0,578.0,11178.0,352.0,10816.0,284.0,781.0,50.0,14721.0,3018.0,428.0,163.0,366.0,49.0,,5.0,5.0,3710.0,1820.0,1890.0,1140.0,2570.0,29.28,73.51,79.5,28.74,9.81,64.55,34.0,17.0,17.0,13.0,7.0,6.0,10.0,4.0,6.0,11.0,6.0,5.0,352.0,10816.0,2.0,,,
14.0,Portland Timbers,POR,5393.0,74.0,203.0,120.0,7333.0,429.0,101.0,131.0,1184.0,12523.0,526.0,472.0,469.0,12.0,43.0,11.0,9.0,3.0,27.0,12.0,279.0,129.0,45.0,2097.0,142.0,6.0,1.0,198.0,4.0,697.0,105.0,553.0,424.0,210.0,2665.0,328.0,25.0,914.0,1895.0,87.0,459.0,307.0,34.0,52.0,52.0,49.0,45.0,4.0,23.0,1244.0,1144.0,24.0,121.0,345.0,221.0,181.0,14531.0,107.0,1.0,2.0,,5.0,6.0,7.0,5.0,1.0,4502.0,50.0,13.0,8.0,10.0,494.0,223.0,127.0,482.0,11950.0,271.0,11339.0,414.0,645.0,53.0,15332.0,2809.0,560.0,198.0,355.0,76.0,2.0,4.0,6.0,3329.0,1716.0,1613.0,941.0,2388.0,26.85,77.15,81.68,32.32,9.29,61.63,34.0,17.0,17.0,14.0,8.0,6.0,13.0,5.0,8.0,7.0,4.0,3.0,271.0,11339.0,2.0,2.0,,
