club id,club name,club/name, accurate cross, accurate long balls, accurate pass, aerial lost, aerial won, att pen goal, blocked scoring att, corner taken, failed long balls, fk foul lost, fk foul won, games played, goal assist, goals, goals conceded, hand ball, interception, ontarget scoring att, open play pass, own goals, att pen taken, penalty conceded, penalty won, post scoring att, saves, shot off target, successful open play pass, successful short pass, total clearance, total offside, total pass, total pass miss, total scoring att, won corners, yellow card, second yellow, red card, total red card, att freekick total, att hd total, att lf total, att rf total, touches, aerial duel, accurate pass per, accurate shooting per, goal conversion per, expected goals, type, total matches, home matches, away matches, total wins, home wins, away wins, total losses, away losses, total draws, home draws, away draws, successfull short pass, penalty save, home losses
5,New York Red Bulls,New York Red Bulls,40.0,271.0,5523.0,244.0,207.0,4.0,54.0,71.0,392.0,209.0,171.0,17.0,26.0,28.0,23.0,11.0,26.0,87.0,6441.0,1.0,5.0,1.0,5.0,5.0,44.0,60.0,5283.0,1534.0,234.0,23.0,6800.0,1277.0,218.0,71.0,28.0,2.0,2.0,4.0,199.0,24.0,56.0,137.0,9249.0,451.0,81.22,39.91,12.84,26.7607,regular,17.0,7.0,10.0,8.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,1534.0,,
6,Sporting Kansas City,Sporting Kansas City,49.0,362.0,7084.0,196.0,177.0,,68.0,82.0,347.0,208.0,217.0,17.0,22.0,25.0,32.0,11.0,15.0,71.0,7882.0,,1.0,2.0,1.0,1.0,54.0,59.0,6735.0,1672.0,157.0,29.0,8328.0,1242.0,205.0,82.0,36.0,,,,264.0,23.0,58.0,124.0,10857.0,373.0,85.06,34.63,12.2,20.03,regular,17.0,9.0,8.0,3.0,2.0,1.0,9.0,5.0,5.0,3.0,2.0,1672.0,1.0,4.0
7,Colorado Rapids,Colorado Rapids,72.0,284.0,5974.0,272.0,212.0,4.0,57.0,88.0,311.0,183.0,191.0,17.0,22.0,27.0,31.0,9.0,20.0,87.0,6810.0,1.0,7.0,2.0,7.0,5.0,52.0,64.0,5701.0,1444.0,170.0,39.0,7190.0,1214.0,223.0,88.0,23.0,,,,221.0,39.0,45.0,138.0,9658.0,484.0,83.09,39.01,12.11,34.0712,regular,17.0,7.0,10.0,6.0,3.0,3.0,7.0,5.0,4.0,2.0,2.0,1444.0,,2.0
8,Columbus Crew,Columbus Crew,47.0,202.0,7093.0,107.0,101.0,1.0,48.0,55.0,170.0,120.0,221.0,14.0,25.0,21.0,13.0,8.0,18.0,67.0,7581.0,,3.0,2.0,3.0,5.0,42.0,51.0,6746.0,2423.0,116.0,33.0,7965.0,872.0,179.0,55.0,20.0,,2.0,2.0,255.0,26.0,45.0,108.0,10025.0,208.0,89.05,37.43,11.73,23.5055,regular,14.0,7.0,7.0,6.0,3.0,3.0,2.0,1.0,6.0,3.0,3.0,2423.0,,1.0
9,New England Revolution,New England Revolution,60.0,228.0,6257.0,179.0,194.0,,50.0,84.0,323.0,189.0,176.0,15.0,12.0,12.0,27.0,9.0,10.0,69.0,6977.0,,,6.0,,1.0,53.0,60.0,5938.0,1505.0,193.0,25.0,7378.0,1120.0,190.0,84.0,37.0,1.0,1.0,2.0,202.0,31.0,86.0,72.0,9668.0,373.0,84.81,36.32,6.32,17.9603,regular,15.0,8.0,7.0,4.0,2.0,2.0,10.0,5.0,1.0,1.0,,1505.0,2.0,5.0
10,San Jose Earthquakes,San Jose Earthquakes,60.0,242.0,5160.0,182.0,195.0,1.0,55.0,83.0,284.0,198.0,171.0,16.0,18.0,23.0,39.0,13.0,22.0,78.0,5887.0,,1.0,6.0,1.0,1.0,53.0,58.0,4860.0,1274.0,208.0,17.0,6260.0,1098.0,207.0,83.0,43.0,1.0,2.0,3.0,200.0,31.0,64.0,112.0,8568.0,377.0,82.43,37.68,11.11,26.0847,regular,16.0,7.0,9.0,3.0,2.0,1.0,11.0,7.0,2.0,1.0,1.0,1274.0,,4.0
11,Chicago Fire FC,Chicago Fire FC,55.0,292.0,6019.0,220.0,215.0,3.0,57.0,82.0,380.0,210.0,180.0,17.0,17.0,17.0,29.0,3.0,15.0,65.0,6887.0,,3.0,3.0,3.0,,59.0,74.0,5705.0,1859.0,178.0,30.0,7286.0,1266.0,205.0,82.0,37.0,,1.0,1.0,210.0,25.0,70.0,108.0,9907.0,435.0,82.61,31.71,8.29,26.5588,regular,17.0,10.0,7.0,3.0,3.0,,8.0,3.0,6.0,2.0,4.0,1859.0,,5.0
12,LA Galaxy,LA Galaxy,51.0,250.0,8699.0,143.0,127.0,3.0,79.0,100.0,244.0,163.0,232.0,17.0,34.0,31.0,25.0,9.0,24.0,104.0,9337.0,1.0,6.0,3.0,6.0,6.0,63.0,61.0,8303.0,2918.0,181.0,27.0,9781.0,1081.0,255.0,100.0,24.0,1.0,2.0,3.0,251.0,23.0,77.0,154.0,12226.0,270.0,88.94,40.78,12.16,33.1256,regular,17.0,7.0,10.0,7.0,4.0,3.0,3.0,3.0,7.0,3.0,4.0,2918.0,,
13,D.C. United,D.C. United,78.0,325.0,5077.0,242.0,355.0,3.0,87.0,102.0,349.0,263.0,189.0,17.0,30.0,25.0,31.0,7.0,17.0,85.0,6155.0,1.0,3.0,2.0,3.0,3.0,51.0,73.0,4809.0,1359.0,167.0,37.0,6540.0,1463.0,260.0,102.0,50.0,1.0,1.0,2.0,231.0,49.0,61.0,150.0,9075.0,597.0,77.63,32.69,9.62,35.514,regular,17.0,9.0,8.0,4.0,3.0,1.0,6.0,3.0,7.0,3.0,4.0,1359.0,,3.0
14,Portland Timbers,Portland Timbers,64.0,319.0,6618.0,210.0,211.0,4.0,50.0,69.0,377.0,232.0,249.0,18.0,36.0,31.0,32.0,12.0,28.0,80.0,7517.0,1.0,4.0,3.0,4.0,2.0,58.0,62.0,6199.0,1912.0,209.0,28.0,8032.0,1413.0,201.0,69.0,36.0,1.0,1.0,2.0,301.0,36.0,27.0,138.0,10608.0,421.0,82.4,39.8,15.42,27.894,regular,18.0,8.0,10.0,5.0,3.0,2.0,7.0,5.0,6.0,3.0,3.0,1912.0,1.0,2.0
