created,updated,id,season_id,club_id,club_name,club_abbreviation,venue_id,country_id,region_id,club/created,club/updated,club/id,club/opta_id,club/sportec_id,club/name,club/abbreviation,club/year_founded,regular_season_statistics/att_pen_goal,regular_season_statistics/clean_sheet,regular_season_statistics/fk_foul_lost,regular_season_statistics/fk_foul_won,regular_season_statistics/games_played,regular_season_statistics/goal_assist,regular_season_statistics/goals,regular_season_statistics/goals_conceded,regular_season_statistics/ontarget_scoring_att,regular_season_statistics/own_goals,regular_season_statistics/att_pen_miss,regular_season_statistics/att_pen_taken,regular_season_statistics/penalty_conceded,regular_season_statistics/penalty_faced,regular_season_statistics/saves,regular_season_statistics/total_offside,regular_season_statistics/total_scoring_att,regular_season_statistics/yellow_card,regular_season_statistics/total_red_card,regular_season_statistics/winning_goal,regular_season_statistics/type,regular_season_statistics/total_matches,regular_season_statistics/home_matches,regular_season_statistics/away_matches,regular_season_statistics/total_wins,regular_season_statistics/home_wins,regular_season_statistics/away_wins,regular_season_statistics/total_losses,regular_season_statistics/home_losses,regular_season_statistics/away_losses,regular_season_statistics/total_draws,regular_season_statistics/home_draws,regular_season_statistics/away_draws
1602184681000,1602184681000,103,11,5,MetroStars,MET,4645,,,1602184675000,1602184675000,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,6,6,458,406,32,53,53,49,212,1,1,7,3,5,152,124,391,65,4,12,regular,32,16,16,12,6,6,9,3,6,11,7,4
1602184681000,1602184681000,104,11,6,Kansas City Wizards,KC,2703,,,1602184675000,1602184675000,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,1,7,389,464,32,48,52,44,178,1,1,2,1,1,112,102,422,42,1,11,regular,32,16,16,11,6,5,9,4,5,12,6,6
1602184681000,1602184681000,105,11,7,Colorado Rapids,COL,770,,,1602184675000,1602184675000,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,6,10,491,451,32,42,40,37,165,1,1,7,6,6,121,105,339,72,6,13,regular,32,16,16,13,10,3,13,4,9,6,2,4
1602184681000,1602184681000,106,11,8,Columbus Crew,CLB,21,,,1602184675000,1635388569000,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,2,9,456,415,32,42,34,45,186,1,3,5,2,3,134,106,391,53,3,16,regular,32,16,16,11,7,4,16,8,8,5,1,4
1602184681000,1602184681000,107,11,9,New England Revolution,NE,23,,,1602184675000,1602184675000,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,5,10,440,459,32,59,55,37,200,,1,6,5,6,119,85,400,55,2,17,regular,32,16,16,17,11,6,7,2,5,8,3,5
1602184681000,1602184681000,108,11,10,San Jose Earthquakes,SJ,3577,,,1602184675000,1602184675000,10,1131,MLS-CLU-00000Q,San Jose Earthquakes,SJ,1994,4,12,528,590,32,62,53,31,164,2,1,5,4,5,105,96,344,54,4,18,regular,32,16,16,18,9,9,4,,4,10,7,3
1602184681000,1602184681000,109,11,11,Chicago Fire,CHI,24,,,1602184675000,1635374910000,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,5,7,454,448,32,52,49,50,183,,2,7,5,6,99,89,389,45,3,15,regular,32,16,16,15,8,7,13,5,8,4,3,1
1602184681000,1602184681000,110,11,12,Los Angeles Galaxy,LA,38,,,1602184675000,1602184675000,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,6,6,449,484,32,42,44,45,183,3,,6,6,6,97,108,405,59,2,13,regular,32,16,16,13,10,3,13,3,10,6,3,3
1602184681000,1602184681000,111,11,13,D.C. United,DC,22,,,1602184675000,1602184675000,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,9,11,504,470,32,58,58,37,201,3,,9,5,6,97,88,410,61,5,16,regular,32,16,16,16,9,7,10,5,5,6,2,4
1602184681000,1602184681000,112,11,19,Real Salt Lake,RSL,359440,,,1602184675000,1602184675000,19,1899,MLS-CLU-00000R,Real Salt Lake,RSL,2004,4,4,423,458,32,23,30,65,216,3,,4,4,4,146,90,352,60,6,22,regular,32,16,16,5,5,,22,8,14,5,3,2
1602184681000,1602184681000,113,11,20,FC Dallas,DAL,34,,,1602184675000,1602184675000,20,1903,MLS-CLU-000005,FC Dallas,DAL,1995,4,7,557,403,32,48,52,44,199,1,,4,2,2,113,97,460,63,2,13,regular,32,16,16,13,8,5,10,3,7,9,5,4
1602184681000,1602184681000,114,11,22,Chivas USA,CHV,38,,,1602184675000,1602184675000,22,2079,,Chivas USA,CHV,2005,7,3,521,452,32,28,31,67,218,,2,9,7,9,141,89,355,70,4,22,regular,32,16,16,4,3,1,22,11,11,6,2,4
