club id,club name,club abbreviation,club/sportec id,club/name, accurate cross, accurate long balls, accurate pass, aerial lost, aerial won, att pen goal, blocked scoring att, corner taken, failed long balls, fk foul lost, fk foul won, games played, goal assist, goals, goals conceded, hand ball, interception, ontarget scoring att, open play pass, own goals, att pen taken, penalty conceded, penalty won, post scoring att, saves, shot off target, successful open play pass, successful short pass, total clearance, total offside, total pass, total pass miss, total scoring att, won corners, yellow card, second yellow, red card, total red card, att freekick total, att hd total, att lf total, att rf total, touches, aerial duel, accurate pass per, accurate shooting per, goal conversion per, expected goals, type, total matches, home matches, away matches, total wins, home wins, away wins, total losses, away losses, total draws, home draws, away draws, successfull short pass, penalty save, home losses
5,New York Red Bulls,RBNY,MLS-CLU-00000B,New York Red Bulls,40,271,5523,244,207,4,54,71,392,209,171,17,26,28,23,11,26,87,6441,1,5,1,5,5,44,60,5283,1534,234,23,6800,1277,218,71,28,2,2,4,199,24,56,137,9249,451,81.22,39.91,12.84,26.7607,regular,17,7,10,8,5,3,4,4,5,2,3,1534,,
6,Sporting Kansas City,SKC,MLS-CLU-00000K,Sporting Kansas City,49,362,7084,196,177,,68,82,347,208,217,17,22,25,32,11,15,71,7882,,1,2,1,1,54,59,6735,1672,157,29,8328,1242,205,82,36,,,,264,23,58,124,10857,373,85.06,34.63,12.2,20.03,regular,17,9,8,3,2,1,9,5,5,3,2,1672,1,4
7,Colorado Rapids,COL,MLS-CLU-00000J,Colorado Rapids,72,284,5974,272,212,4,57,88,311,183,191,17,22,27,31,9,20,87,6810,1,7,2,7,5,52,64,5701,1444,170,39,7190,1214,223,88,23,,,,221,39,45,138,9658,484,83.09,39.01,12.11,34.0712,regular,17,7,10,6,3,3,7,5,4,2,2,1444,,2
8,Columbus Crew,CLB,MLS-CLU-00000E,Columbus Crew,47,202,7093,107,101,1,48,55,170,120,221,14,25,21,13,8,18,67,7581,,3,2,3,5,42,51,6746,2423,116,33,7965,872,179,55,20,,2,2,255,26,45,108,10025,208,89.05,37.43,11.73,23.5055,regular,14,7,7,6,3,3,2,1,6,3,3,2423,,1
9,New England Revolution,NE,MLS-CLU-00000N,New England Revolution,60,228,6257,179,194,,50,84,323,189,176,15,12,12,27,9,10,69,6977,,,6,,1,53,60,5938,1505,193,25,7378,1120,190,84,37,1,1,2,202,31,86,72,9668,373,84.81,36.32,6.32,17.9603,regular,15,8,7,4,2,2,10,5,1,1,,1505,2,5
10,San Jose Earthquakes,SJ,MLS-CLU-00000Q,San Jose Earthquakes,60,242,5160,182,195,1,55,83,284,198,171,16,18,23,39,13,22,78,5887,,1,6,1,1,53,58,4860,1274,208,17,6260,1098,207,83,43,1,2,3,200,31,64,112,8568,377,82.43,37.68,11.11,26.0847,regular,16,7,9,3,2,1,11,7,2,1,1,1274,,4
11,Chicago Fire FC,CHI,MLS-CLU-00000F,Chicago Fire FC,55,292,6019,220,215,3,57,82,380,210,180,17,17,17,29,3,15,65,6887,,3,3,3,,59,74,5705,1859,178,30,7286,1266,205,82,37,,1,1,210,25,70,108,9907,435,82.61,31.71,8.29,26.5588,regular,17,10,7,3,3,,8,3,6,2,4,1859,,5
12,LA Galaxy,LA,MLS-CLU-00000G,LA Galaxy,51,250,8699,143,127,3,79,100,244,163,232,17,34,31,25,9,24,104,9337,1,6,3,6,6,63,61,8303,2918,181,27,9781,1081,255,100,24,1,2,3,251,23,77,154,12226,270,88.94,40.78,12.16,33.1256,regular,17,7,10,7,4,3,3,3,7,3,4,2918,,
13,D.C. United,DC,MLS-CLU-00000D,D.C. United,78,325,5077,242,355,3,87,102,349,263,189,17,30,25,31,7,17,85,6155,1,3,2,3,3,51,73,4809,1359,167,37,6540,1463,260,102,50,1,1,2,231,49,61,150,9075,597,77.63,32.69,9.62,35.514,regular,17,9,8,4,3,1,6,3,7,3,4,1359,,3
14,Portland Timbers,POR,MLS-CLU-00000P,Portland Timbers,64,319,6618,210,211,4,50,69,377,232,249,18,36,31,32,12,28,80,7517,1,4,3,4,2,58,62,6199,1912,209,28,8032,1413,201,69,36,1,1,2,301,36,27,138,10608,421,82.4,39.8,15.42,27.894,regular,18,8,10,5,3,2,7,5,6,3,3,1912,1,2
15,CF Montréal,MTL,MLS-CLU-000006,CF Montréal,38,188,6412,192,135,3,50,60,239,203,172,16,25,22,35,8,17,61,7154,,3,4,3,1,65,54,6066,2125,235,23,7565,1153,170,60,40,1,2,3,218,16,53,101,9806,327,84.76,35.88,12.94,21.9344,regular,16,6,10,4,2,2,7,5,5,2,3,2125,,2
16,Vancouver Whitecaps FC,VAN,MLS-CLU-00000C,Vancouver Whitecaps FC,85,258,6474,227,208,2,44,77,324,155,163,16,19,24,19,9,23,68,7166,,2,1,2,1,45,67,6203,1377,226,28,7489,1015,195,77,28,,1,1,188,56,53,86,9636,435,86.45,34.87,12.31,24.5428,regular,16,8,8,7,3,4,5,2,4,2,2,1377,,3
18,Houston Dynamo FC,HOU,MLS-CLU-00000H,Houston Dynamo FC,68,307,7408,151,138,,51,71,273,206,203,16,17,17,18,5,22,83,8193,,,2,,3,55,62,7088,2162,134,37,8559,1151,202,71,34,,1,1,221,45,38,119,10779,289,86.55,41.09,8.42,19.8065,regular,16,8,8,6,3,3,6,4,4,3,1,2162,1,2
19,Real Salt Lake,RSL,MLS-CLU-00000R,Real Salt Lake,54,356,7018,153,166,2,67,98,326,220,202,17,40,36,19,7,27,101,7761,,2,2,2,4,71,82,6678,1918,140,38,8161,1143,260,98,39,1,,1,230,36,72,150,10922,319,85.99,38.85,13.85,31.2088,regular,17,8,9,9,6,3,2,1,6,1,5,1918,,1
20,FC Dallas,DAL,MLS-CLU-000005,FC Dallas,48,263,6343,152,158,,48,61,292,198,167,16,21,18,25,6,10,69,7074,1,,5,,2,68,67,6011,1916,208,26,7460,1117,193,61,35,,,,212,27,63,102,9707,310,85.03,35.75,9.33,18.0464,regular,16,7,9,3,3,,8,6,5,2,3,1916,2,2
21,Toronto FC,TOR,MLS-CLU-00000M,Toronto FC,62,262,6810,176,204,1,63,72,339,229,184,17,22,25,26,11,16,81,7677,,3,2,3,1,60,55,6485,2298,195,43,8072,1261,206,72,53,4,1,5,217,27,97,82,10592,380,84.37,39.32,12.14,26.6554,regular,17,8,9,7,5,2,7,4,3,,3,2298,,3
23,Seattle Sounders FC,SEA,MLS-CLU-00000S,Seattle Sounders FC,61,272,6747,214,202,5,76,103,298,177,222,17,19,19,21,12,27,70,7619,,5,3,5,1,55,66,6431,2205,193,16,8023,1276,228,103,33,3,3,6,238,41,57,129,10537,416,84.1,30.7,8.33,24.4234,regular,17,7,10,4,1,3,7,6,6,5,1,2205,1,1
24,Philadelphia Union,PHI,MLS-CLU-000002,Philadelphia Union,79,268,5111,204,237,3,69,97,284,188,166,16,23,27,23,5,14,90,5935,,4,1,4,1,51,73,4853,1295,155,40,6282,1171,254,97,36,,1,1,195,55,60,139,8698,441,81.36,35.43,10.63,29.5634,regular,16,8,8,4,1,3,4,,8,3,5,1295,,4
26,Orlando City,ORL,MLS-CLU-00000O,Orlando City,72,221,6405,219,152,1,54,100,239,157,200,16,18,15,24,14,11,61,7211,,1,4,1,1,41,68,6063,2439,147,36,7609,1204,193,100,30,,2,2,234,29,83,80,9753,371,84.18,31.61,7.77,22.8261,regular,16,8,8,4,1,3,7,3,5,3,2,2439,1,4
27,Minnesota United,MIN,MLS-CLU-00000L,Minnesota United,61,218,4587,222,213,,65,95,348,216,143,16,34,28,21,10,9,90,5550,1,,2,,4,47,56,4340,1002,160,26,5915,1328,224,95,36,2,1,3,210,35,66,123,8331,435,77.55,40.18,12.5,25.2341,regular,16,9,7,8,4,4,3,2,5,4,1,1002,1,1
28,New York City FC,NYC,MLS-CLU-000004,New York City FC,47,189,6234,178,173,2,62,77,287,224,212,16,21,24,17,10,24,79,7041,,2,1,2,2,60,79,5898,1935,196,33,7458,1224,230,77,34,,3,3,260,24,76,130,10124,351,83.59,34.35,10.43,28.7153,regular,16,9,7,9,6,3,5,3,2,1,1,1935,1,2
