created,updated,id,season id,club id,club name,club abbreviation,venue id,country id,region id,club/created,club/updated,club/id,club/opta id,club/sportec id,club/name,club/abbreviation,club/year founded,accurate cross,accurate long balls,accurate pass,aerial lost,aerial won,att pen goal,blocked scoring att,clean sheet,corner taken,failed long balls,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,hand ball,interception,ontarget scoring att,open play pass,own goals,att pen taken,penalty conceded,penalty won,post scoring att,saves,shot off target,successful open play pass,successful short pass,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,yellow card,second yellow,red card,total red card,att freekick total,att hd total,att lf total,att rf total,touches,aerial duel,accurate pass per,accurate shooting per,goal conversion per,expected goals,type,total matches,home matches,away matches,total wins,home wins,away wins,total losses,away losses,total draws,home draws,away draws,successfull short pass,penalty save,home losses,goal_weighted_score,attack_weighted_score,defense_weighted_score,possession_weighted_score
1702320000000.0,1702320000000.0,3762986,1047,5,New York Red Bulls,RBNY,59,13,4,1602180000000.0,1602180000000.0,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,3.0,15.04,318.2,16.04,14.6,0.2,3.64,7,4.68,21.4,12.4,9.72,1.0,1.56,1.6,1.24,0.64,1.2,5.68,372.52,0.08,0.24,0.08,0.24,0.28,2.64,4.36,304.52,86.92,10.96,1.52,392.8,74.6,14.52,4.68,1.64,0.08,0.12,0.2,11.36,1.92,3.92,8.6,536.08,30.64,3.24,1.56,0.44,1.76,regular,25,12,13,10,7,3.0,4,4,11,5.0,6.0,2173,0.0,0.0,1.008,208.92,2.68,246.68000000000004
1702320000000.0,1702320000000.0,3762987,1047,6,Sporting Kansas City,SKC,63,13,4,1602180000000.0,1602180000000.0,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,3.31,20.23,398.15,11.62,10.35,0.0,4.58,2,5.15,20.38,12.46,11.81,1.0,1.54,1.54,2.0,0.65,0.77,4.31,443.92,0.12,0.08,0.12,0.08,0.08,3.0,3.96,380.08,96.12,8.88,1.5,468.23,70.0,13.38,5.15,1.96,0.0,0.04,0.04,14.27,1.92,3.88,7.58,613.92,21.96,3.27,1.24,0.44,1.44,regular,26,13,13,6,4,2.0,14,9,6,4.0,2.0,2499,1.0,5.0,0.9239999999999999,253.914,2.33,292.446
1702320000000.0,1702320000000.0,3762988,1047,7,Colorado Rapids,COL,39,13,4,1602180000000.0,1602180000000.0,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,4.19,15.27,359.81,15.35,12.58,0.31,3.42,5,5.19,17.12,9.88,11.12,1.0,1.62,1.81,1.65,0.46,1.08,5.23,409.54,0.08,0.46,0.12,0.46,0.27,3.27,3.73,343.35,94.31,9.0,2.19,432.12,72.23,13.35,5.19,1.46,0.04,0.0,0.04,12.77,2.62,2.65,8.04,576.31,27.92,3.2,1.51,0.52,2.16,regular,26,13,13,12,8,4.0,9,7,5,3.0,2.0,2452,0.0,2.0,1.122,232.374,2.346,270.356
1702320000000.0,1702320000000.0,3762989,1047,8,Columbus Crew,CLB,147078,13,4,1602180000000.0,1635390000000.0,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,3.91,15.7,520.09,8.13,7.83,0.09,3.87,8,4.83,13.35,7.96,14.52,1.0,2.26,2.04,0.96,0.39,1.04,5.57,554.22,0.0,0.17,0.09,0.17,0.26,3.13,4.35,496.04,167.83,6.57,1.87,580.87,60.78,14.57,4.83,1.13,0.0,0.13,0.13,17.04,2.13,3.65,8.74,721.26,15.96,3.89,1.66,0.61,1.95,regular,23,11,12,12,6,6.0,4,3,7,4.0,3.0,3860,0.0,1.0,1.317,323.964,1.7140000000000002,359.634
1702320000000.0,1702320000000.0,3762990,1047,9,New England Revolution,NE,23,13,4,1602180000000.0,1602180000000.0,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,3.61,14.7,398.61,11.26,12.22,0.0,3.09,3,5.17,20.61,11.65,11.17,1.0,0.96,0.96,2.04,0.52,0.74,4.35,443.52,0.0,0.0,0.3,0.0,0.13,3.61,3.74,378.09,91.3,11.7,1.61,469.48,70.83,11.91,5.17,2.09,0.04,0.04,0.09,12.61,1.83,5.74,4.3,612.13,23.48,3.69,1.59,0.35,1.1,regular,23,13,10,7,4,3.0,14,7,2,2.0,0.0,2100,2.0,7.0,0.576,253.944,2.896,291.94
1702320000000.0,1702320000000.0,3762991,1047,10,San Jose Earthquakes,SJ,75,13,4,1602180000000.0,1602180000000.0,10,1131,MLS-CLU-00000Q,San Jose Earthquakes,SJ,1994,3.76,15.16,317.12,11.92,12.56,0.04,3.72,1,5.84,19.72,10.88,10.84,1.0,0.88,1.16,2.44,0.68,1.24,4.16,364.28,0.04,0.04,0.24,0.04,0.04,3.28,4.44,298.0,73.84,11.24,1.28,388.44,71.24,13.04,5.84,2.16,0.04,0.08,0.12,12.68,2.44,4.24,6.32,532.44,24.48,3.27,1.28,0.36,1.55,regular,25,13,12,4,3,1.0,19,10,2,1.0,1.0,1846,0.0,9.0,0.624,205.66799999999998,2.984,243.77600000000004
1702320000000.0,1702320000000.0,3762992,1047,11,Chicago Fire FC,CHI,24,13,4,1602180000000.0,1635370000000.0,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,3.08,15.48,357.0,13.8,12.48,0.16,3.0,4,4.56,20.76,12.76,10.0,1.0,1.24,1.2,1.68,0.32,1.04,4.68,408.76,0.0,0.16,0.28,0.16,0.08,3.6,4.44,339.48,111.28,8.8,1.64,431.84,74.8,12.64,4.56,2.12,0.0,0.04,0.04,11.84,1.68,4.12,6.76,583.28,26.28,3.31,1.48,0.38,1.67,regular,25,12,13,6,4,2.0,12,7,7,3.0,4.0,2782,0.0,5.0,0.78,231.132,2.304,270.92
1702320000000.0,1702320000000.0,3762993,1047,12,LA Galaxy,LA,38,13,4,1602180000000.0,1602180000000.0,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,2.38,14.77,518.38,8.12,7.73,0.12,4.08,6,5.19,14.62,9.12,12.62,1.0,2.38,1.92,1.38,0.46,1.31,5.88,554.77,0.04,0.23,0.19,0.23,0.31,4.0,3.54,495.42,155.19,9.69,1.62,580.85,62.42,14.15,5.19,1.62,0.04,0.08,0.12,13.85,1.12,4.42,8.58,721.65,15.85,3.43,1.6,0.52,1.92,regular,26,13,13,14,9,5.0,5,4,7,3.0,4.0,4035,1.0,1.0,1.3259999999999998,323.709,2.4760000000000004,359.58400000000006
1702320000000.0,1702320000000.0,3762994,1047,13,D.C. United,DC,82,13,4,1602180000000.0,1602180000000.0,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,4.36,18.76,293.44,15.56,20.6,0.16,4.28,2,5.68,21.36,13.96,11.48,1.0,1.64,1.4,2.0,0.56,1.08,4.68,352.28,0.04,0.16,0.16,0.16,0.12,2.88,4.16,277.68,79.24,8.32,1.96,376.24,82.8,14.0,5.68,2.76,0.12,0.12,0.24,13.64,2.72,3.36,7.92,523.36,36.16,3.12,1.34,0.4,1.83,regular,25,13,12,6,4,2.0,11,5,8,3.0,5.0,1981,0.0,6.0,0.96,195.11999999999998,2.2800000000000002,235.45600000000005
1702320000000.0,1702320000000.0,3762995,1047,14,Portland Timbers,POR,62,13,4,1602180000000.0,1602180000000.0,14,1581,MLS-CLU-00000P,Portland Timbers,POR,2009,3.44,18.88,381.48,11.32,11.84,0.2,3.24,4,3.96,20.64,12.32,12.92,1.0,2.36,1.96,1.68,0.6,1.44,5.0,429.24,0.08,0.2,0.12,0.2,0.12,2.88,3.92,358.88,102.84,10.84,1.36,456.6,75.04,12.88,3.96,2.08,0.04,0.04,0.08,15.88,2.24,1.92,8.72,600.16,23.16,3.34,1.55,0.61,1.82,regular,25,12,13,10,7,3.0,9,7,6,3.0,3.0,2571,1.0,2.0,1.356,244.716,2.792,283.128
