created,updated,id,season id,club id,club name,club abbreviation,venue id,country id,region id,club/created,club/updated,club/id,club/opta id,club/sportec id,club/name,club/abbreviation,club/year founded,accurate cross,accurate long balls,accurate pass,aerial lost,aerial won,att pen goal,blocked scoring att,clean sheet,corner taken,failed long balls,fk foul lost,fk foul won,games played,goal assist,goals,goals conceded,hand ball,interception,ontarget scoring att,open play pass,own goals,att pen taken,penalty conceded,penalty won,post scoring att,saves,shot off target,successful open play pass,successful short pass,total clearance,total offside,total pass,total pass miss,total scoring att,won corners,yellow card,second yellow,red card,total red card,att freekick total,att hd total,att lf total,att rf total,touches,aerial duel,accurate pass per,accurate shooting per,goal conversion per,expected goals,type,total matches,home matches,away matches,total wins,home wins,away wins,total losses,away losses,total draws,home draws,away draws,successfull short pass,penalty save,home losses
1.70232E+12,1.70232E+12,3762986,1047,5,New York Red Bulls,RBNY,59,13,4,1.60218E+12,1.60218E+12,5,399,MLS-CLU-00000B,New York Red Bulls,RBNY,1995,75,376,7955,401,365,5,91,7,117,535,310,243,25,39,40,31,16,30,142,9313,2,6,2,6,7,66,109,7613,2173,274,38,9820,1865,363,117,41,2,3,5,284,48,98,215,13402,766,81.01,39.12,11.02,43.9214,regular,25,12,13,10,7,3,4,4,11,5,6,2173,,
1.70232E+12,1.70232E+12,3762987,1047,6,Sporting Kansas City,SKC,63,13,4,1.60218E+12,1.60218E+12,6,421,MLS-CLU-00000K,Sporting Kansas City,SKC,1995,86,526,10352,302,269,,119,2,134,530,324,307,26,40,40,52,17,20,112,11542,3,2,3,2,2,78,103,9882,2499,231,39,12174,1820,348,134,51,,1,1,371,50,101,197,15962,571,85.03,32.18,11.49,37.4207,regular,26,13,13,6,4,2,14,9,6,4,2,2499,1,5
1.70232E+12,1.70232E+12,3762988,1047,7,Colorado Rapids,COL,39,13,4,1.60218E+12,1.60218E+12,7,436,MLS-CLU-00000J,Colorado Rapids,COL,1995,109,397,9355,399,327,8,89,5,135,445,257,289,26,42,47,43,12,28,136,10648,2,12,3,12,7,85,97,8927,2452,234,57,11235,1878,347,135,38,1,,1,332,68,69,209,14984,726,83.27,39.19,13.54,56.1081,regular,26,13,13,12,8,4,9,7,5,3,2,2452,,2
1.70232E+12,1.70232E+12,3762989,1047,8,Columbus Crew,CLB,147078,13,4,1.60218E+12,1.63539E+12,8,454,MLS-CLU-00000E,Columbus Crew,CLB,1994,90,361,11962,187,180,2,89,8,111,307,183,334,23,52,47,22,9,24,128,12747,,4,2,4,6,72,100,11409,3860,151,43,13360,1398,335,111,26,,3,3,392,49,84,201,16589,367,89.54,38.21,14.03,44.7899,regular,23,11,12,12,6,6,4,3,7,4,3,3860,,1
1.70232E+12,1.70232E+12,3762990,1047,9,New England Revolution,NE,23,13,4,1.60218E+12,1.60218E+12,9,928,MLS-CLU-00000N,New England Revolution,NE,1995,83,338,9168,259,281,,71,3,119,474,268,257,23,22,22,47,12,17,100,10201,,,7,,3,83,86,8696,2100,269,37,10798,1629,274,119,48,1,1,2,290,42,132,99,14079,540,84.9,36.5,8.03,25.2452,regular,23,13,10,7,4,3,14,7,2,2,,2100,2,7
1.70232E+12,1.70232E+12,3762991,1047,10,San Jose Earthquakes,SJ,75,13,4,1.60218E+12,1.60218E+12,10,1131,MLS-CLU-00000Q,San Jose Earthquakes,SJ,1994,94,379,7928,298,314,1,93,1,146,493,272,271,25,22,29,61,17,31,104,9107,1,1,6,1,1,82,111,7450,1846,281,32,9711,1781,326,146,54,1,2,3,317,61,106,158,13311,612,81.64,31.9,8.9,38.8187,regular,25,13,12,4,3,1,19,10,2,1,1,1846,,9
1.70232E+12,1.70232E+12,3762992,1047,11,Chicago Fire FC,CHI,24,13,4,1.60218E+12,1.63537E+12,11,1207,MLS-CLU-00000F,Chicago Fire FC,CHI,1997,77,387,8925,345,312,4,75,4,114,519,319,250,25,31,30,42,8,26,117,10219,,4,7,4,2,90,111,8487,2782,220,41,10796,1870,316,114,53,,1,1,296,42,103,169,14582,657,82.67,37.03,9.49,41.6386,regular,25,12,13,6,4,2,12,7,7,3,4,2782,,5
1.70232E+12,1.70232E+12,3762993,1047,12,LA Galaxy,LA,38,13,4,1.60218E+12,1.60218E+12,12,1230,MLS-CLU-00000G,LA Galaxy,LA,1995,62,384,13478,211,201,3,106,6,135,380,237,328,26,62,50,36,12,34,153,14424,1,6,5,6,8,104,92,12881,4035,252,42,15102,1623,368,135,42,1,2,3,360,29,115,223,18763,412,89.25,41.58,13.59,49.9329,regular,26,13,13,14,9,5,5,4,7,3,4,4035,1,1
1.70232E+12,1.70232E+12,3762994,1047,13,D.C. United,DC,82,13,4,1.60218E+12,1.60218E+12,13,1326,MLS-CLU-00000D,D.C. United,DC,1995,109,469,7336,389,515,4,107,2,142,534,349,287,25,41,35,50,14,27,117,8807,1,4,4,4,3,72,104,6942,1981,208,49,9406,2070,350,142,69,3,3,6,341,68,84,198,13084,904,77.99,33.43,10,45.7281,regular,25,13,12,6,4,2,11,5,8,3,5,1981,,6
1.70232E+12,1.70232E+12,3762995,1047,14,Portland Timbers,POR,62,13,4,1.60218E+12,1.60218E+12,14,1581,MLS-CLU-00000P,Portland Timbers,POR,2009,86,472,9537,283,296,5,81,4,99,516,308,323,25,59,49,42,15,36,125,10731,2,5,3,5,3,72,98,8972,2571,271,34,11415,1876,322,99,52,1,1,2,397,56,48,218,15004,579,83.55,38.82,15.22,45.5857,regular,25,12,13,10,7,3,9,7,6,3,3,2571,1,2
1.70232E+12,1.70232E+12,3762996,1047,15,CF Montréal,MTL,61,13,4,1.60218E+12,1.63348E+12,15,1616,MLS-CLU-000006,CF Montréal,MTL,2010,71,334,10817,300,248,4,75,5,89,410,293,256,25,35,32,49,14,26,93,12054,1,4,5,4,2,100,98,10300,3569,308,41,12657,1840,277,89,57,1,2,3,315,36,80,160,16138,548,85.46,33.57,11.55,33.8961,regular,25,12,13,6,4,2,10,7,9,5,4,3569,,3
1.70232E+12,1.70232E+12,3762997,1047,16,Vancouver Whitecaps FC,VAN,68,13,4,1.60218E+12,1.63347E+12,16,1708,MLS-CLU-00000C,Vancouver Whitecaps FC,VAN,2009,121,420,9362,304,303,2,60,4,112,484,234,243,24,39,42,35,14,34,114,10405,,2,3,2,2,69,98,8955,2009,301,39,10904,1542,292,112,44,1,1,2,278,86,81,123,14078,607,85.86,39.04,14.38,38.4669,regular,24,11,13,11,5,6,8,4,5,2,3,2009,1,4
1.70232E+12,1.70232E+12,3762998,1047,18,Houston Dynamo FC,HOU,69,13,4,1.60218E+12,1.63347E+12,18,1897,MLS-CLU-00000H,Houston Dynamo FC,HOU,2005,104,452,11365,234,212,1,100,5,109,406,307,300,24,37,33,30,8,31,132,12503,,1,3,1,4,79,96,10864,3253,178,58,13073,1708,341,109,51,,1,1,326,68,66,205,16392,446,86.93,38.71,9.68,33.6982,regular,24,11,13,10,4,6,7,5,7,5,2,3253,1,2
1.70232E+12,1.70232E+12,3762999,1047,19,Real Salt Lake,RSL,45,13,4,1.60218E+12,1.60218E+12,19,1899,MLS-CLU-00000R,Real Salt Lake,RSL,2004,76,519,10787,245,244,2,89,6,134,481,333,297,25,59,51,34,12,39,146,11851,1,2,4,2,7,95,127,10266,2978,204,48,12448,1661,382,134,57,1,,1,338,51,104,225,16402,489,86.66,38.22,13.35,45.5267,regular,25,11,14,12,8,4,5,3,8,1,7,2978,1,2
1.70232E+12,1.70232E+12,3763000,1047,20,FC Dallas,DAL,34,13,4,1.60218E+12,1.60218E+12,20,1903,MLS-CLU-000005,FC Dallas,DAL,1995,68,386,9585,237,251,3,79,5,90,458,316,275,25,40,36,39,11,22,113,10653,2,3,6,3,3,99,91,9057,2841,277,44,11265,1680,299,90,55,,,,333,40,91,167,14683,488,85.09,37.79,12.04,30.9844,regular,25,13,12,8,8,,11,8,6,2,4,2841,2,3
1.70232E+12,1.70232E+12,3763001,1047,21,Toronto FC,TOR,37,13,4,1.60218E+12,1.60218E+12,21,2077,MLS-CLU-00000M,Toronto FC,TOR,2005,90,419,10966,284,322,1,87,7,98,491,325,297,26,34,32,47,14,23,110,12210,1,4,2,4,2,81,93,10437,3437,256,57,12837,1870,303,98,70,4,1,5,343,40,140,122,16553,606,85.42,36.3,10.56,37.25,regular,26,12,14,9,6,3,14,8,3,,3,3437,,6
1.70232E+12,1.70232E+12,3763002,1047,23,Seattle Sounders FC,SEA,67,13,4,1.60218E+12,1.60218E+12,23,3500,MLS-CLU-00000S,Seattle Sounders FC,SEA,2007,97,376,10438,284,287,7,110,8,150,416,253,318,25,32,32,29,17,30,117,11664,,7,4,7,2,75,99,9960,3004,246,22,12253,1815,344,150,43,3,3,6,347,59,78,206,15884,571,85.19,34.01,9.3,37.2612,regular,25,13,12,10,6,4,8,6,7,5,2,3004,1,2
